NAMESPACE            NAME                                                              READY   STATUS                   RESTARTS         AGE     IP              NODE   NOMINATED NODE   READINESS GATES
default              memhog-test                                                       1/1     Running                  0                2d      10.254.83.232   cp0    <none>           <none>
default              metric-manager-grafana-7d5b4b8544-r8rn6                           0/2     ContainerStatusUnknown   5 (16d ago)      17d     10.254.83.250   cp0    <none>           <none>
default              metric-manager-grafana-7d5b4b8544-swkt7                           2/2     Running                  377 (2d ago)     4d      10.254.83.215   cp0    <none>           <none>
default              metric-manager-operator-64fbff55d-26l69                           1/1     Running                  0                4d      10.254.84.17    cp0    <none>           <none>
default              metric-manager-operator-64fbff55d-qdt9j                           0/1     ContainerStatusUnknown   2 (16d ago)      17d     10.254.83.240   cp0    <none>           <none>
default              monitormgmtservice-747c647d48-gms2g                               0/1     Error                    1 (16d ago)      17d     10.254.84.24    cp0    <none>           <none>
default              monitormgmtservice-747c647d48-q2m86                               1/1     Running                  187 (2d ago)     4d      10.254.84.10    cp0    <none>           <none>
default              mqservice-server-0                                                1/1     Running                  0                4d1h    10.254.84.19    cp0    <none>           <none>
default              multiproc-test                                                    1/1     Running                  0                7h2m    10.254.84.81    cp0    <none>           <none>
default              netdevadapter-w486w                                               1/1     Running                  122 (2d1h ago)   3d9h    10.254.84.20    cp0    <none>           <none>
default              netdevmonitor-cz56w                                               1/1     Running                  126 (2d1h ago)   3d9h    10.254.84.36    cp0    <none>           <none>
default              node-daemon-gkcxz                                                 1/1     Running                  0                17d     10.254.175.12   wk1    <none>           <none>
default              node-daemon-wskkq                                                 1/1     Running                  127 (2d1h ago)   3d9h    10.254.84.11    cp0    <none>           <none>
default              node-exporter-dqjv8                                               1/1     Running                  0                30h     10.0.0.2        wk1    <none>           <none>
default              node-exporter-t9c7n                                               1/1     Running                  0                3d9h    10.0.0.1        cp0    <none>           <none>
default              nodeproxy-85r2t                                                   1/1     Running                  0                3d9h    10.254.83.255   cp0    <none>           <none>
default              opsmgmtservice-56b498fd67-mknmk                                   0/1     Error                    1 (16d ago)      17d     10.254.83.237   cp0    <none>           <none>
default              opsmgmtservice-56b498fd67-n8rl5                                   1/1     Running                  231 (2d ago)     4d      10.254.84.8     cp0    <none>           <none>
default              osmgmt-6tbn5                                                      1/1     Running                  122 (2d1h ago)   3d9h    10.254.84.68    cp0    <none>           <none>
default              portal-r8jwt                                                      1/1     Running                  122 (2d1h ago)   3d9h    10.254.84.6     cp0    <none>           <none>
default              prometheus-685b674c7b-bfpj8                                       0/1     Error                    1                17d     10.254.84.56    cp0    <none>           <none>
default              prometheus-685b674c7b-jhtj5                                       1/1     Running                  126 (2d1h ago)   4d      10.254.83.243   cp0    <none>           <none>
default              prometheus-metric-manager-prometheus-0                            2/2     Running                  0                4d1h    10.254.84.21    cp0    <none>           <none>
default              redis-cluster-redis-cluster-0                                     1/1     Running                  0                4d      10.254.84.63    cp0    <none>           <none>
default              redis-operator-54f9f9547-452n8                                    1/1     Running                  0                4d      10.254.83.211   cp0    <none>           <none>
default              redis-operator-54f9f9547-vl8tr                                    0/1     Error                    1                17d     10.254.84.13    cp0    <none>           <none>
default              redis-sentinel-redis-cluster-0                                    1/1     Running                  0                4d      10.254.83.245   cp0    <none>           <none>
default              resourcemgmt-54l9x                                                1/1     Running                  122 (2d1h ago)   3d9h    10.254.83.213   cp0    <none>           <none>
default              search-86866798b8-7hb4l                                           0/1     Error                    1 (16d ago)      17d     10.254.83.210   cp0    <none>           <none>
default              search-86866798b8-rgh98                                           1/1     Running                  122 (2d1h ago)   4d      10.254.84.50    cp0    <none>           <none>
